app,installed_app,installed_app_24,installed_app_72,similar_app,hot_app,social_app,contact,contact_default,family,grandparent,land_line_ratio,land_line_count,mobile_phone_count,no_mobile_phone_ratio,offspring,parent,risk_keyword_ratio,risk_keyword_count,siblings,spouse,target
313.0,58.0,1.0,7.0,18.0,8.0,True,504.0,0.0,0.0,0.0,0.4146825397,209.0,284.0,0.5634920635,0.0,0.0,0.001984127,1.0,0.0,0.0,1
343.0,94.0,9.0,11.0,12.0,6.0,True,226.0,0.0,4.0,2.0,0.6504424779,147.0,72.0,0.3185840708,0.0,2.0,0.0044247788,1.0,1.0,0.0,0
374.0,92.0,2.0,3.0,2.0,9.0,True,1272.0,0.0,2.0,1.0,0.4378930818,557.0,653.0,0.5133647799,0.0,0.0,0.0172955975,22.0,2.0,0.0,0
306.0,38.0,4.0,6.0,7.0,8.0,True,71.0,0.0,0.0,0.0,0.5633802817,40.0,30.0,0.4225352113,0.0,0.0,0.0,0.0,0.0,0.0,0
322.0,100.0,1.0,4.0,12.0,6.0,True,1548.0,0.0,10.0,2.0,0.4599483204,712.0,727.0,0.4696382429,1.0,2.0,0.003875969,6.0,5.0,0.0,0
249.0,19.0,3.0,3.0,2.0,3.0,True,761.0,0.0,2.0,0.0,0.482260184,367.0,385.0,0.505913272,0.0,1.0,0.0275952694,21.0,0.0,1.0,0
278.0,37.0,4.0,5.0,8.0,4.0,True,384.0,0.0,1.0,0.0,0.40625,156.0,194.0,0.5052083333,0.0,1.0,0.0104166667,4.0,0.0,0.0,0
332.0,80.0,7.0,13.0,20.0,7.0,True,2857.0,0.0,2.0,0.0,0.2299614981,657.0,2120.0,0.7420371019,0.0,0.0,0.0059502975,17.0,2.0,0.0,0
285.0,42.0,2.0,4.0,3.0,5.0,True,208.0,0.0,2.0,0.0,0.5913461538,123.0,81.0,0.3894230769,0.0,2.0,0.0096153846,2.0,0.0,0.0,1
287.0,45.0,5.0,6.0,6.0,4.0,True,249.0,0.0,5.0,1.0,0.3734939759,93.0,138.0,0.5542168675,1.0,2.0,0.0281124498,7.0,1.0,0.0,0
483.0,153.0,7.0,13.0,16.0,8.0,True,778.0,0.0,3.0,1.0,0.3907455013,304.0,428.0,0.5501285347,0.0,0.0,0.0025706941,2.0,3.0,0.0,0
357.0,91.0,13.0,14.0,22.0,9.0,True,200.0,0.0,2.0,1.0,0.335,67.0,122.0,0.61,0.0,1.0,0.0,0.0,1.0,0.0,0
245.0,39.0,4.0,4.0,2.0,5.0,True,222.0,0.0,0.0,0.0,0.5,111.0,111.0,0.5,0.0,0.0,0.009009009,2.0,0.0,0.0,0
387.0,127.0,5.0,10.0,25.0,8.0,True,363.0,0.0,2.0,1.0,0.4573002755,166.0,185.0,0.5096418733,0.0,2.0,0.0055096419,2.0,1.0,0.0,0
357.0,108.0,4.0,6.0,23.0,9.0,True,386.0,0.0,3.0,2.0,0.4222797927,163.0,215.0,0.5569948187,0.0,0.0,0.0051813472,2.0,2.0,0.0,1
204.0,26.0,21.0,25.0,12.0,4.0,True,2090.0,0.0,0.0,0.0,0.6688995215,1398.0,677.0,0.323923445,0.0,0.0,0.009569378,20.0,0.0,0.0,0
370.0,66.0,4.0,7.0,8.0,9.0,True,1131.0,0.0,3.0,0.0,0.3510167993,397.0,663.0,0.5862068966,0.0,3.0,0.0008841733,1.0,0.0,0.0,0
245.0,49.0,4.0,6.0,15.0,8.0,True,278.0,0.0,0.0,0.0,0.4820143885,134.0,141.0,0.5071942446,0.0,0.0,0.0071942446,2.0,0.0,0.0,0
308.0,56.0,3.0,3.0,9.0,4.0,True,480.0,3.0,2.0,0.0,0.49375,237.0,239.0,0.4979166667,0.0,1.0,0.0125,6.0,1.0,0.0,0
313.0,100.0,6.0,6.0,18.0,7.0,True,774.0,0.0,2.0,0.0,0.3888888889,301.0,461.0,0.5956072351,0.0,0.0,0.023255814,18.0,2.0,0.0,1
292.0,36.0,2.0,2.0,4.0,6.0,True,69.0,0.0,1.0,0.0,0.5507246377,38.0,25.0,0.3623188406,0.0,1.0,0.0,0.0,0.0,0.0,0
372.0,68.0,3.0,5.0,23.0,4.0,True,472.0,0.0,0.0,0.0,0.5572033898,263.0,205.0,0.4343220339,0.0,0.0,0.0275423729,13.0,0.0,0.0,1
306.0,75.0,11.0,13.0,16.0,6.0,True,418.0,0.0,1.0,0.0,0.504784689,211.0,202.0,0.4832535885,0.0,1.0,0.0023923445,1.0,0.0,0.0,0
281.0,70.0,6.0,7.0,5.0,8.0,True,980.0,0.0,4.0,0.0,0.5173469388,507.0,460.0,0.4693877551,0.0,0.0,0.0183673469,18.0,4.0,0.0,1
229.0,40.0,3.0,6.0,7.0,6.0,False,204.0,0.0,1.0,0.0,0.4411764706,90.0,100.0,0.4901960784,0.0,0.0,0.0049019608,1.0,1.0,0.0,0
307.0,24.0,3.0,3.0,9.0,5.0,True,375.0,0.0,10.0,4.0,0.5946666667,223.0,143.0,0.3813333333,0.0,4.0,0.0026666667,1.0,4.0,0.0,0
313.0,54.0,4.0,4.0,14.0,9.0,True,461.0,0.0,2.0,2.0,0.4859002169,224.0,222.0,0.4815618221,0.0,0.0,0.0151843818,7.0,2.0,0.0,0
477.0,162.0,3.0,4.0,43.0,8.0,True,216.0,0.0,2.0,0.0,0.4444444444,96.0,83.0,0.3842592593,0.0,0.0,0.0277777778,6.0,2.0,0.0,0
267.0,52.0,3.0,3.0,5.0,5.0,True,135.0,0.0,1.0,0.0,0.6814814815,92.0,38.0,0.2814814815,0.0,0.0,0.0148148148,2.0,1.0,0.0,1
